City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
590,Sydney Mines,CA,46.2367,-60.2177,52.18,91,100,6.91,light rain
591,Tambura,SS,5.6,27.4667,68.76,91,99,3.02,overcast clouds
592,Haiku-Pauwela,US,20.9219,-156.3051,82.42,54,40,23.02,scattered clouds
593,Ha'il,SA,27.5219,41.6907,80.62,57,40,4.61,light rain
594,Cadale,SO,2.7603,46.3222,81.21,78,1,17.05,clear sky
595,Gamba,GA,-2.65,10.0,74.84,90,71,9.62,broken clouds
596,Pangai,TO,-19.8,-174.35,75.16,67,99,15.93,overcast clouds
597,Bavly,RU,54.393,53.2602,63.54,88,65,4.54,light rain
598,Thief River Falls,US,48.1191,-96.1812,80.53,69,0,10.36,clear sky
599,Kegen,KZ,43.0197,79.2203,48.49,67,100,3.42,overcast clouds
600,Lancaster,US,40.2504,-76.2499,87.03,59,61,6.64,broken clouds
601,Thinadhoo,MV,0.5333,72.9333,81.75,73,99,6.67,overcast clouds
602,Kourou,GF,5.1552,-52.6478,75.25,90,66,4.12,broken clouds
603,Thohoyandou,ZA,-22.9456,30.485,61.34,24,0,3.36,clear sky
604,El Idrissia,DZ,34.4454,2.5275,61.74,63,95,6.69,light rain
605,Emporia,US,38.4039,-96.1817,66.4,88,100,11.5,thunderstorm with light rain
606,Qorveh,IR,35.1664,47.8045,56.1,54,70,3.89,broken clouds
607,Český Krumlov,CZ,48.8109,14.3152,57.65,95,59,4.76,broken clouds
608,Khouribga Province,MA,32.9333,-6.6,62.47,59,29,12.64,scattered clouds
609,North Bend,US,43.4065,-124.2243,69.24,61,0,16.11,clear sky
610,Bourbon-Lancy,FR,46.6221,3.7695,58.95,95,29,3.0,scattered clouds
611,Jodhpur,IN,26.2867,73.03,86.04,58,82,7.18,broken clouds
612,Hāflong,IN,25.1833,93.0333,73.8,74,49,2.91,scattered clouds
613,Santa Cruz,CR,10.2605,-85.5851,88.16,77,77,3.78,broken clouds
614,Bahía de Caráquez,EC,-0.6,-80.4167,80.89,78,70,5.77,broken clouds
615,Santa Elena,EC,-2.2333,-80.85,83.75,84,40,11.5,scattered clouds
616,Camaná,PE,-16.6228,-72.7111,65.28,83,10,6.71,clear sky
617,Sabang,ID,5.8933,95.3214,82.85,76,100,23.98,overcast clouds
618,Río Grande,AR,-53.7877,-67.7095,43.29,84,82,12.75,broken clouds
619,Cova Figueira,CV,14.8905,-24.2934,69.71,82,8,11.79,clear sky
620,Piteå,SE,65.3172,21.4794,41.09,71,82,5.21,broken clouds
621,Freeport,US,40.6576,-73.5832,79.29,51,20,5.75,thunderstorm
622,Hailun,CN,47.45,126.9333,59.72,55,67,11.68,broken clouds
623,Anzio,IT,41.4853,12.6179,69.39,81,86,6.85,overcast clouds
624,Bilsanda,IN,28.25,79.95,81.01,43,1,5.95,clear sky
625,Rovaniemi,FI,66.5,25.7167,40.41,56,100,4.61,overcast clouds
626,Alice Springs,AU,-23.7,133.8833,47.75,61,0,0.0,clear sky
627,Tucumã,BR,-0.1833,-50.05,77.34,89,4,4.9,clear sky
628,Lodja,CD,-3.4833,23.4333,71.94,53,67,1.01,broken clouds
629,Gradizhsk,UA,49.2346,33.1361,63.32,72,43,1.5,scattered clouds
630,Hollister,US,36.8525,-121.4016,77.18,55,0,19.57,clear sky
631,Pekan,MY,3.4836,103.3996,77.18,90,82,4.12,broken clouds
632,Talara,PE,-4.5772,-81.2719,79.56,78,0,10.36,clear sky
633,Ojinaga,MX,29.5667,-104.4167,97.57,16,0,4.61,clear sky
634,Buri,BR,-23.7975,-48.5928,56.91,94,0,5.14,clear sky
635,Los Chavez,US,34.727,-106.7384,80.91,21,80,11.01,broken clouds
636,Mount Isa,AU,-20.7333,139.5,64.17,68,3,0.0,clear sky
637,Al Khārijah,EG,25.4514,30.5464,89.8,17,82,10.18,broken clouds
638,Chegdomyn,RU,51.1167,133.0167,51.04,68,97,3.85,overcast clouds
639,Priob’ye,RU,62.5206,65.5964,60.57,67,97,3.06,overcast clouds
640,Luena,AO,-11.7833,19.9167,60.31,48,8,2.89,clear sky
641,Manaure,CO,11.7751,-72.4445,83.32,75,96,12.01,overcast clouds
642,Newman,AU,-23.3667,119.7333,50.5,55,0,6.85,clear sky
643,I-n-Salah,DZ,27.1935,2.4607,85.59,14,0,5.46,clear sky
644,Kousséri,CM,12.0769,15.0306,90.34,43,99,3.56,overcast clouds
645,Tionk Essil,SN,12.7856,-16.5217,77.47,71,88,11.56,overcast clouds
646,Faya-Largeau,TD,17.9257,19.1043,89.38,36,51,10.67,broken clouds
647,Karyés,GR,37.3,22.5,54.19,92,49,3.38,scattered clouds
648,Smithers,CA,54.7804,-127.1743,66.52,34,75,4.61,broken clouds
649,Borkum,DE,53.5809,6.6915,57.15,70,24,14.52,few clouds
650,Dakoro,NE,14.5106,6.765,81.66,60,99,19.19,overcast clouds
651,San Fernando de Apure,VE,7.8878,-67.4724,76.82,92,49,4.83,scattered clouds
652,Linhai,CN,28.85,121.1167,77.94,70,10,0.65,clear sky
653,Novy Urengoy,RU,66.0833,76.6333,52.03,71,0,9.13,clear sky
654,Tyup,KG,42.7276,78.3648,52.54,50,100,4.03,overcast clouds
655,Muli,MV,2.9167,73.5667,82.49,75,100,17.92,moderate rain
656,Sargans,CH,47.049,9.441,63.32,96,21,2.51,few clouds
657,Murzuk,LY,25.9155,13.9184,83.89,24,1,14.0,clear sky
658,Tamarin,MU,-20.3256,57.3706,72.52,62,35,15.08,scattered clouds
659,Vila Velha,BR,-20.3297,-40.2925,71.55,78,0,12.66,clear sky
660,Turkestan,KZ,43.3333,68.25,73.69,17,0,16.98,clear sky
661,Zhangye,CN,38.9342,100.4517,66.45,39,100,1.74,overcast clouds
662,Las Lomitas,AR,-24.7096,-60.593,74.82,64,0,9.84,clear sky
663,Portel,BR,-1.9356,-50.8211,81.3,71,90,2.95,overcast clouds
664,Rioja,PE,-6.0586,-77.165,69.44,96,93,0.43,overcast clouds
665,Finisterra,ES,42.9049,-9.2629,65.01,83,12,4.32,few clouds
666,Ust-Tsilma,RU,65.441,52.1498,47.44,81,8,3.87,clear sky
667,Palikir,FM,6.9248,158.1611,86.74,74,100,5.75,light rain
668,Manor,IN,19.75,72.9167,83.46,76,29,4.41,scattered clouds
669,Vryburg,ZA,-26.9566,24.7284,56.28,33,38,9.55,scattered clouds
670,Laojunmiao,CN,39.8333,97.7333,55.18,28,99,6.08,overcast clouds
